Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z
680,-0.05899608,-0.1940896,1.663886,-0.04959341,-0.135717,1.680692,-0.01243767,0.1634153,1.672251,0.04028897,0.347124,1.583513,-0.1935944,0.1204089,1.703894,-0.4254232,0.1275224,1.692621,-0.4686824,0.2281263,1.514081,-0.479475,0.2579131,1.457108,0.1499505,0.06352402,1.666813,0.3572833,-0.05445722,1.580898,0.5666217,-0.1269297,1.498715,0.6394224,-0.1505984,1.463633,-0.1440832,-0.262243,1.658512,-0.2006288,-0.534982,1.577788,-0.2695363,-0.8673463,1.470788,-0.2844647,-0.8979095,1.384145,0.006154153,-0.2813535,1.660846,0.03803607,-0.5700172,1.59202,0.07527521,-0.9071859,1.502414,0.07150645,-0.9363834,1.417027,
717,-0.05665523,-0.1933533,1.67027,-0.04693253,-0.135069,1.687348,-0.008500239,0.163818,1.678802,0.04453811,0.3462516,1.591199,-0.1894446,0.1212381,1.710115,-0.4233881,0.1302952,1.699913,-0.4631199,0.237739,1.524761,-0.4779251,0.2621557,1.466029,0.1536714,0.06497464,1.672848,0.3598495,-0.05511435,1.587813,0.5676433,-0.1259892,1.502159,0.6876844,-0.1655737,1.443969,-0.1420208,-0.2612147,1.664714,-0.1974782,-0.533689,1.583741,-0.2651746,-0.8662963,1.476292,-0.2800032,-0.8967198,1.389621,0.008040051,-0.2805668,1.667251,0.03746059,-0.5694243,1.595373,0.07167036,-0.9053037,1.502516,0.06752893,-0.9340401,1.416976,
752,-0.05482502,-0.1932055,1.67548,-0.04484484,-0.1349512,1.692787,-0.00564874,0.1639942,1.684121,0.04833287,0.3461913,1.59735,-0.1857132,0.1227507,1.716656,-0.421968,0.1322574,1.70647,-0.4606851,0.2396827,1.531027,-0.4776419,0.2668906,1.470947,0.1571098,0.06513649,1.678273,0.3616403,-0.05540078,1.593799,0.5685253,-0.1257651,1.505948,0.6900361,-0.1659846,1.446167,-0.1404294,-0.2604464,1.670137,-0.1931651,-0.5328783,1.588495,-0.2576455,-0.8659832,1.480087,-0.2723261,-0.896265,1.393375,0.009623256,-0.2809762,1.672181,0.03706331,-0.569172,1.598496,0.06902798,-0.9048887,1.503407,0.06441984,-0.9333267,1.417779,
779,-0.0532293,-0.1937415,1.680863,-0.04304111,-0.1355193,1.69874,-0.002625169,0.16393,1.690992,0.05331989,0.3469481,1.603129,-0.1823145,0.1236082,1.722471,-0.4205049,0.1338384,1.714457,-0.4582385,0.2387893,1.537154,-0.4749669,0.2700864,1.478195,0.1596346,0.06303859,1.684736,0.3643136,-0.05584904,1.599168,0.570849,-0.1272601,1.509478,0.6918669,-0.1669329,1.448934,-0.1390578,-0.2601217,1.675243,-0.1892918,-0.5324261,1.592795,-0.4457406,-0.5664099,1.573677,-0.3568578,-0.5567757,1.520722,0.01094133,-0.2820216,1.677297,0.0373009,-0.5690852,1.603006,0.06818264,-0.9053966,1.506793,0.06369114,-0.9335281,1.421045,
812,-0.05159449,-0.1930569,1.685853,-0.0411691,-0.1349522,1.704298,-9.087729E-06,0.164424,1.69699,0.05558623,0.3474074,1.609468,-0.1799533,0.1246042,1.728425,-0.4138681,0.1377635,1.725013,-0.456189,0.2378867,1.545811,-0.4729479,0.2722524,1.484849,0.1625404,0.0637685,1.689914,0.3674215,-0.05735164,1.604343,0.5486292,-0.1221758,1.539189,0.6834857,-0.1654911,1.458575,-0.1377316,-0.2592088,1.680052,-0.1876075,-0.5307127,1.595773,-0.4416034,-0.5801841,1.56982,-0.3526306,-0.5680615,1.517503,0.01236428,-0.2817546,1.681878,0.0372032,-0.5691419,1.606903,0.06621431,-0.9048016,1.510112,0.06142904,-0.9327068,1.424293,
851,-0.05048849,-0.1926974,1.690301,-0.03954964,-0.1346857,1.709916,0.004518431,0.1660409,1.704882,0.05845148,0.3479171,1.615736,-0.1769758,0.1255896,1.733985,-0.4093391,0.1399625,1.733436,-0.4542505,0.2381334,1.553731,-0.4708373,0.2739419,1.492821,0.1648132,0.06463088,1.695049,0.3673853,-0.05775976,1.610039,0.5470369,-0.1220034,1.539177,0.6878738,-0.1690081,1.46029,-0.1370226,-0.2583107,1.684084,-0.1853541,-0.5294508,1.598761,-0.4386892,-0.5826331,1.577007,-0.3504256,-0.5703009,1.523525,0.0129594,-0.2815617,1.685804,0.0369715,-0.569003,1.610089,0.06496549,-0.9041103,1.512571,0.06013068,-0.9314672,1.426566,
879,-0.04970413,-0.1922018,1.693956,-0.03843518,-0.1341441,1.714625,0.00689875,0.1678286,1.710044,0.06092926,0.3493088,1.620985,-0.1738392,0.1270325,1.738873,-0.4061703,0.1421458,1.74039,-0.4528674,0.2378114,1.559706,-0.4692851,0.2755138,1.499783,0.166371,0.0653034,1.700137,0.3681794,-0.05855447,1.615408,0.5463551,-0.1228222,1.54021,0.6832445,-0.1688854,1.465909,-0.1362126,-0.2572396,1.687494,-0.1837603,-0.5279539,1.601395,-0.4355526,-0.5880014,1.572495,-0.3470352,-0.5745439,1.519684,0.0132285,-0.2810115,1.689264,0.03688706,-0.5691714,1.613803,0.06433712,-0.9035118,1.516935,0.05954935,-0.9307451,1.430878,
915,-0.04850123,-0.1901606,1.701351,-0.03632984,-0.1321807,1.724293,0.01271506,0.1715182,1.720289,0.06717812,0.3528476,1.633913,-0.1685653,0.1305735,1.748523,-0.3996919,0.135419,1.771772,-0.4447816,0.2301826,1.590102,-0.4670948,0.2784986,1.510847,0.1702285,0.06708121,1.709418,0.3702597,-0.05878637,1.625842,0.5468618,-0.1252419,1.548428,0.6794882,-0.1692465,1.474322,-0.1355292,-0.2541184,1.694292,-0.181838,-0.5236384,1.605436,-0.4323913,-0.5874676,1.566498,-0.3432849,-0.5740716,1.514622,0.01332782,-0.2792246,1.696344,0.03672322,-0.5693967,1.620748,0.06349123,-0.9013993,1.524752,0.05872059,-0.9283106,1.43857,
940,-0.04850123,-0.1901606,1.701351,-0.03632984,-0.1321807,1.724293,0.01271506,0.1715182,1.720289,0.06717812,0.3528476,1.633913,-0.1685653,0.1305735,1.748523,-0.3996919,0.135419,1.771772,-0.4447816,0.2301826,1.590102,-0.4670948,0.2784986,1.510847,0.1702285,0.06708121,1.709418,0.3702597,-0.05878637,1.625842,0.5468618,-0.1252419,1.548428,0.6794882,-0.1692465,1.474322,-0.1355292,-0.2541184,1.694292,-0.181838,-0.5236384,1.605436,-0.4323913,-0.5874676,1.566498,-0.3432849,-0.5740716,1.514622,0.01332782,-0.2792246,1.696344,0.03672322,-0.5693967,1.620748,0.06349123,-0.9013993,1.524752,0.05872059,-0.9283106,1.43857,
967,-0.04820596,-0.1887342,1.704763,-0.03571835,-0.1308053,1.728671,0.01500825,0.1732841,1.724284,0.07141617,0.3545623,1.639617,-0.1660511,0.1325746,1.753011,-0.398564,0.1358435,1.775532,-0.444054,0.2337226,1.595716,-0.465762,0.2810005,1.519954,0.1726391,0.06934677,1.715489,0.3711956,-0.05794679,1.630679,0.5470952,-0.1252624,1.552197,0.6922011,-0.1739461,1.476895,-0.1354834,-0.2520864,1.697517,-0.1809908,-0.5211616,1.607622,-0.4308049,-0.5863941,1.56288,-0.3413493,-0.5731428,1.511548,0.01305517,-0.2779804,1.699725,0.03638229,-0.5697708,1.625296,0.06283239,-0.9006253,1.53128,0.05842474,-0.9276851,1.445115,
