Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z
639,-0.05898879,-0.2245969,1.622351,-0.06783547,-0.1656203,1.665291,-0.07093671,0.163214,1.663572,-0.04483405,0.364091,1.613768,-0.2469441,0.06852031,1.644569,-0.4823912,0.04271927,1.54053,-0.6365917,0.1278755,1.384057,-0.6872929,0.1744988,1.323909,0.1020688,0.087038,1.708881,0.367043,0.04454482,1.733219,0.5920004,0.07503055,1.712886,0.6748201,0.1131217,1.705665,-0.1373604,-0.304078,1.599931,-0.2612529,-0.6647753,1.537128,-0.3687916,-0.9778609,1.468279,-0.3687644,-1.00924,1.376878,0.02424346,-0.3022531,1.623116,0.09706829,-0.6698924,1.523648,0.1602803,-0.9890038,1.422974,0.1820191,-1.01324,1.331985,
660,-0.06022662,-0.2265219,1.629228,-0.06939252,-0.1672113,1.672465,-0.07176962,0.1618803,1.666933,-0.04657068,0.3622611,1.614771,-0.2471384,0.06711382,1.645779,-0.4791215,0.03714491,1.538269,-0.6320033,0.1206281,1.379938,-0.6815891,0.16495,1.317348,0.100704,0.08582953,1.711714,0.3660891,0.04251882,1.73286,0.5903013,0.07605624,1.712758,0.6727955,0.1143143,1.704294,-0.1383742,-0.3057049,1.608372,-0.2643697,-0.6663252,1.540307,-0.3733415,-0.9782212,1.467094,-0.3727215,-1.009218,1.375579,0.02263491,-0.3040184,1.629987,0.09635395,-0.6732374,1.532131,0.1601126,-0.9925704,1.433153,0.1823304,-1.017411,1.342459,
678,-0.06022662,-0.2265219,1.629228,-0.06939252,-0.1672113,1.672465,-0.07176962,0.1618803,1.666933,-0.04657068,0.3622611,1.614771,-0.2471384,0.06711382,1.645779,-0.4791215,0.03714491,1.538269,-0.6320033,0.1206281,1.379938,-0.6815891,0.16495,1.317348,0.100704,0.08582953,1.711714,0.3660891,0.04251882,1.73286,0.5903013,0.07605624,1.712758,0.6727955,0.1143143,1.704294,-0.1383742,-0.3057049,1.608372,-0.2643697,-0.6663252,1.540307,-0.3733415,-0.9782212,1.467094,-0.3727215,-1.009218,1.375579,0.02263491,-0.3040184,1.629987,0.09635395,-0.6732374,1.532131,0.1601126,-0.9925704,1.433153,0.1823304,-1.017411,1.342459,
697,-0.06060949,-0.2262167,1.635273,-0.07021949,-0.1666172,1.678309,-0.07229885,0.1619049,1.668795,-0.04737233,0.3619639,1.615515,-0.24715,0.06664409,1.646624,-0.4780887,0.03553267,1.536402,-0.6277526,0.1184314,1.374904,-0.6767632,0.1631098,1.312277,0.0997252,0.08585534,1.714668,0.3650266,0.04182066,1.732815,0.588792,0.0762292,1.712102,0.6709956,0.1146108,1.702626,-0.1384369,-0.305333,1.615601,-0.2664756,-0.6660607,1.54425,-0.3768371,-0.9769862,1.468402,-0.3755898,-1.008,1.376916,0.02207273,-0.3032999,1.636959,0.09773414,-0.6739199,1.541249,0.1629497,-0.9933718,1.444405,0.185845,-1.018879,1.354082,
723,-0.06080428,-0.2244433,1.640958,-0.07080694,-0.1645837,1.683619,-0.0725138,0.1631528,1.671113,-0.048043,0.3628888,1.616066,-0.2473085,0.06690258,1.64754,-0.4777103,0.03537294,1.534801,-0.6224711,0.1200713,1.369897,-0.6696448,0.1653359,1.306439,0.09863903,0.08852313,1.718645,0.3645912,0.04188048,1.732954,0.5879287,0.0771371,1.710933,0.6686846,0.1176576,1.699196,-0.1383156,-0.3034856,1.622198,-0.2674535,-0.6647853,1.548965,-0.3784011,-0.9751925,1.471697,-0.3763544,-1.006419,1.380317,0.02154529,-0.3013184,1.643031,0.09750471,-0.6737837,1.550395,0.1627645,-0.9937838,1.456457,0.1863817,-1.020012,1.366546,
738,-0.06080428,-0.2244433,1.640958,-0.07080694,-0.1645837,1.683619,-0.0725138,0.1631528,1.671113,-0.048043,0.3628888,1.616066,-0.2473085,0.06690258,1.64754,-0.4777103,0.03537294,1.534801,-0.6224711,0.1200713,1.369897,-0.6696448,0.1653359,1.306439,0.09863903,0.08852313,1.718645,0.3645912,0.04188048,1.732954,0.5879287,0.0771371,1.710933,0.6686846,0.1176576,1.699196,-0.1383156,-0.3034856,1.622198,-0.2674535,-0.6647853,1.548965,-0.3784011,-0.9751925,1.471697,-0.3763544,-1.006419,1.380317,0.02154529,-0.3013184,1.643031,0.09750471,-0.6737837,1.550395,0.1627645,-0.9937838,1.456457,0.1863817,-1.020012,1.366546,
766,-0.06085058,-0.2217766,1.646284,-0.07101902,-0.1615935,1.688535,-0.07284872,0.1661315,1.674115,-0.04881626,0.3643781,1.616528,-0.2476905,0.06869411,1.649404,-0.4770271,0.03655008,1.533382,-0.6167099,0.1240104,1.365651,-0.6627679,0.1695951,1.301737,0.09793678,0.09123038,1.721563,0.3643549,0.04307713,1.733505,0.5862239,0.08486381,1.708781,0.666447,0.1258426,1.695771,-0.1380032,-0.3010263,1.62749,-0.2672642,-0.6632974,1.552989,-0.377978,-0.9735875,1.474823,-0.3755187,-1.004951,1.383511,0.02120542,-0.2984536,1.649263,0.09573261,-0.6726673,1.557905,0.1595662,-0.9931864,1.465299,0.1832793,-1.019908,1.37557,
801,-0.06084869,-0.2192358,1.649784,-0.07124817,-0.1588081,1.691293,-0.07388926,0.1688302,1.675247,-0.05011156,0.3681622,1.617079,-0.2478244,0.07160047,1.651294,-0.4761665,0.03951633,1.531884,-0.6106934,0.131447,1.362459,-0.6568555,0.1755545,1.297722,0.0970141,0.09483729,1.724106,0.3641228,0.04636133,1.735019,0.5857757,0.08754437,1.707695,0.6656173,0.128711,1.693627,-0.1373866,-0.2983418,1.631539,-0.2674224,-0.6616734,1.558156,-0.378472,-0.9719561,1.481125,-0.375835,-1.003749,1.389986,0.02107699,-0.2955708,1.653556,0.0964934,-0.6713516,1.56529,0.1608985,-0.9922656,1.475549,0.1849033,-1.019574,1.386095,
825,-0.0604097,-0.2153108,1.65343,-0.07080062,-0.1546436,1.694216,-0.07378396,0.1726537,1.676943,-0.04960151,0.3725357,1.618104,-0.2480595,0.07529415,1.653164,-0.4740452,0.04469566,1.531173,-0.6065919,0.1378465,1.36108,-0.6499585,0.1845672,1.296363,0.09659526,0.0978612,1.726076,0.3635299,0.05111777,1.736997,0.5850985,0.09054491,1.706744,0.6647938,0.1314193,1.691585,-0.1368061,-0.2945769,1.634818,-0.2647011,-0.6537476,1.563173,-0.3752775,-0.964282,1.487035,-0.3724716,-0.9964287,1.396041,0.02145053,-0.291773,1.658033,0.09423743,-0.6632188,1.570685,0.1571681,-0.9843662,1.48097,0.1810459,-1.011957,1.391585,
845,-0.0604097,-0.2153108,1.65343,-0.07080062,-0.1546436,1.694216,-0.07378396,0.1726537,1.676943,-0.04960151,0.3725357,1.618104,-0.2480595,0.07529415,1.653164,-0.4740452,0.04469566,1.531173,-0.6065919,0.1378465,1.36108,-0.6499585,0.1845672,1.296363,0.09659526,0.0978612,1.726076,0.3635299,0.05111777,1.736997,0.5850985,0.09054491,1.706744,0.6647938,0.1314193,1.691585,-0.1368061,-0.2945769,1.634818,-0.2647011,-0.6537476,1.563173,-0.3752775,-0.964282,1.487035,-0.3724716,-0.9964287,1.396041,0.02145053,-0.291773,1.658033,0.09423743,-0.6632188,1.570685,0.1571681,-0.9843662,1.48097,0.1810459,-1.011957,1.391585,
